"声優","出演数","メイン","メイン率"
"福田裕子","1","0","0.0"
"藤貴子","4","0","0.0"
"藤夏子","7","0","0.0"
"藤井あさこ","5","0","0.0"
"藤井佳代子","14","0","0.0"
"藤枝成子","9","0","0.0"
"藤川由紀子","6","0","0.0"
"藤生聖子","9","0","0.0"
"ふじたれいこ","5","0","0.0"
"藤野とも子","3","0","0.0"
"藤原美央子","3","0","0.0"
"藤本教子","1","0","0.0"
"渕野陽子","2","0","0.0"
"古山あゆみ","5","0","0.0"
"星河舞","6","0","0.0"
"星野園美","1","0","0.0"
"星野千寿子","6","0","0.0"
"細川聖可","1","0","0.0"
"細野雅世","1","0","0.0"
"堀江ゆき","4","0","0.0"
"堀越真己","21","0","0.0"
"本間ゆかり","22","0","0.0"
"前川優子","5","0","0.0"
"前田このみ (声優)","5","0","0.0"
"前田ちあき","8","0","0.0"
"前田敏子","2","0","0.0"
"前田雅恵","2","0","0.0"
"前田ゆきえ","3","0","0.0"
"牧島有希","4","0","0.0"
"増田ゆき","28","0","0.0"
"増山江威子","20","0","0.0"
"又村奈緒美","13","0","0.0"
"松浦有希子","6","0","0.0"
"松尾佳子","5","0","0.0"
"松岡ミユキ","4","0","0.0"
"松来未祐","2","0","0.0"
"松熊明子","3","0","0.0"
"松熊つる松","3","0","0.0"
"松倉羽鶴","5","0","0.0"
"松下亜紀","3","0","0.0"
"松下こみな","1","0","0.0"
"松下木聖","1","0","0.0"
"松下美由紀","14","0","0.0"
"松乃薫","1","0","0.0"
"松野朋子","1","0","0.0"
"まつもとみわ","6","0","0.0"
"松元惠","2","0","0.0"
"茉雪ちづる","4","0","0.0"
"的井香織","7","0","0.0"
"真山亜子","62","0","0.0"
"真山惠衣","6","0","0.0"
"丸山裕子","15","0","0.0"
"満仲由紀子","4","0","0.0"
"みうらうらら","19","0","0.0"
"三浦智子","5","0","0.0"
"三浦七緒子","19","0","0.0"
"三浦雅子","19","0","0.0"
"三輝みきこ","1","0","0.0"
"御崎朱美","7","0","0.0"
"岬風右子","2","0","0.0"
"水樹洵","4","0","0.0"
"水谷ケイコ","4","0","0.0"
"水野愛日","6","0","0.0"
"水原リン","62","0","0.0"
"水間まき","5","0","0.0"
"溝上真紀子","4","0","0.0"
"翠準子","2","0","0.0"
"南杏子","22","0","0.0"
"峰あつ子","28","0","0.0"
"宮川美保","1","0","0.0"
"宮下富三子","5","0","0.0"
"宮島依里","7","0","0.0"
"宮寺智子","7","0","0.0"
"宮原永海","7","0","0.0"
